id,degree,community,component
JR Torres,5,114,1
3 Composers,28,23,1
UNICEF Iceland,9,14,1
Vino,2,133,88
Tareq Al Harbi,0,134,89
Frank Ocean,10,18,1
Nosowska,14,11,1
Brent,4,22,1
Kyo,9,43,1
Tovino Thomas,0,135,90
Jimmy Bondoc,0,136,91
Thascya,14,25,1
Peso Pluma,14,114,1
Equalz,35,22,1
One Function,29,60,1
niinja,1,47,1
COSMO.,0,137,92
Annie Leigh,0,138,93
Onur Can Özcan,1,21,1
Zävodi,6,131,1
Airbag,1,7,1
Bossy,16,21,1
MC Marks,114,25,1
Peter Lundblad,2,139,94
Adi Ulmansky,24,40,1
OG-ANIC,18,24,1
Distrito 23,27,25,1
EXO,0,140,95
Eirikur Hauksson,2,14,1
Skaldowie,3,141,96
100 First Songs' Participants,0,142,97
Iskrata,7,116,1
Ben Delay,32,39,1
J-Dawg,36,1,1
Anni Lahe,1,37,1
La Joven Guardia,0,143,98
Frida Green,1,1,1
Białas,94,11,1
R.E.M.,4,82,1
Mister You,81,43,1
Phạm Toàn Thắng,5,52,1
WANIMA,1,45,1
ELLEGARDEN,0,144,99
Hypzex,3,21,1
Ismo,43,22,1
Superbrothers,0,145,100
呂薔Amuyi,4,20,1
Slimso,2,77,1
MAI LAN,3,43,1
ReoNa,2,18,1
Nico & Kim,1,146,101
Kamil Hoffmann,18,77,1
Tomas Heredia,19,60,1
SarahStiltner,0,147,102
Leo Gassmann,3,4,1
Balqees,16,43,1
Aleman,116,7,1
Sura İskenderli,2,148,103
Denis Graça,5,124,1
DA PUMP,7,149,104
b.G,8,1,1
Raaban,45,18,1
Noa Kirel,37,40,1
Myles 6ix,8,124,1
Sukhwinder Singh,119,70,1
Joe Flizzow,47,23,1
William Last KRM,33,76,1
Антон Токарев,1,6,1
Humbe,8,7,1
andreas odbjerg,7,17,1
Mike 曾比特,4,20,1
Lulu Huang Lu Zi Yin,2,20,1
Noa,11,40,1
DJ Abdel,59,43,1
Chloe x Halle,9,18,1
Beatzarre & Djorkaeff,2,2,1
Amuly,50,5,1
Zlyj Reper Zenyk,0,150,105
Phạm Nguyên Ngọc,9,52,1
Akihito Okano,1,151,106
Beyoncé,165,18,1
Yanix,41,6,1
Jon Lajoie,1,152,107
الياس السته,0,153,108
Neck Deep,3,154,1
Jota Quest,61,25,1
S1sco,4,17,1
Biggio e Mandelli,0,155,109
Teoman,18,21,1
BLEU,69,18,1
Dusk Till Dawn,4,60,1
Sinan Akçıl,42,21,1
Cafuné,2,156,110
Konen på torget,0,157,111
Cordae,32,18,1
Jimbo J,12,40,1
LSP,38,6,1
Anggun,46,33,1
MIGI,4,1,1
Casseurs Flowters,0,158,112
ATELLWULF,2,159,113
Technotronic,12,39,1
P.A.T.,27,77,1
The Kiffness,36,76,1
Jesse McCartney,5,18,1
Jah Darko,3,18,1
Jayboogz x NAVI,0,160,114
Gregory Porter,61,33,1
Ulises Bueno,15,7,1
SHELOVESKAMO,4,76,1
Minus-One,2,161,115
hachi,0,162,116
Kensington,2,60,1
4 Non Blondes,1,9,1
KC Rebell,58,2,1
